Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Units,[Age],[Bounds],[Cities],[Disability status],[Hazard type],[IHR Capacity],[Location],[Migratory status],[Name of international institution],[Name of non-communicable disease],[Quantile],[Reporting Type],[Sex],[Type of occupation],[Type of product]
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","566","Nigeria","2016","0.1","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","608","Philippines","2016","9.0","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","608","Philippines","2017","11.0","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-4","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","620","Portugal","2016","100.0","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","643","Russian Federation","2016","69.0","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","643","Russian Federation","2017","63.0","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","704","Viet Nam","2016","44.5","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","762","Tajikistan","2016","59.5","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","834","United Republic of Tanzania","2016","0.3","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
"1","1.3","1.3.1","SI_COV_SOCAST","[World Bank] Proportion of population covered by social assistance programs (%)","202","Sub-Saharan Africa","2016","17.9692","2008-2016","World Development Indicators database, World Bank","","CA","PERCENT","","","","","","","","","","","","G","","",""
"1","1.3","1.3.1","SI_COV_SOCAST","[World Bank] Proportion of population covered by social assistance programs (%)","430","Liberia","2016","13.99106","2016","Liberia Institute for Statistics and Geo-Information Services - Government of Liberia","Household Income and Expenditure Survey 2016","CA","PERCENT","","","","","","","","","","","","G","","",""
"1","1.3","1.3.1","SI_COV_SOCAST","[World Bank] Proportion of population covered by social assistance programs (%)","643","Russian Federation","2016","67.89021","2016","State Committee of the Russian Federation on Statistics","Statistical Survey of Income and Participation in Social Programs","CA","PERCENT","","","","","","","","","","","","G","","",""
"1","1.3","1.3.1","SI_COV_SOCASTPQ","[World Bank] Poorest quintile covered by social assistance programs (%)","202","Sub-Saharan Africa","2016","20.69979","2008-2016","World Development Indicators database, World Bank","","CA","PERCENT","","","","","","","","","","","","G","","",""
"1","1.3","1.3.1","SI_COV_SOCASTPQ","[World Bank] Poorest quintile covered by social assistance programs (%)","430","Liberia","2016","21.00364","2016","Liberia Institute for Statistics and Geo-Information Services - Government of Liberia","Household Income and Expenditure Survey 2016","CA","PERCENT","","","","","","","","","","","","G","","",""
"1","1.3","1.3.1","SI_COV_SOCASTPQ","[World Bank] Poorest quintile covered by social assistance programs (%)","643","Russian Federation","2016","78.87147","2016","State Committee of the Russian Federation on Statistics","Statistical Survey of Income and Participation in Social Programs","CA","PERCENT","","","","","","","","","","","","G","","",""
"1","1.3","1.3.1","SI_COV_SOCINS","[World Bank] Proportion of population covered by social insurance programs (%)","202","Sub-Saharan Africa","2016","4.78541","2008-2016","World Development Indicators database, World Bank","","CA","PERCENT","","","","","","","","","","","","G","","",""
"1","1.3","1.3.1","SI_COV_SOCINS","[World Bank] Proportion of population covered by social insurance programs (%)","430","Liberia","2016","0.49643","2016","Liberia Institute for Statistics and Geo-Information Services - Government of Liberia","Household Income and Expenditure Survey 2016","CA","PERCENT","","","","","","","","","","","","G","","",""
"1","1.3","1.3.1","SI_COV_SOCINS","[World Bank] Proportion of population covered by social insurance programs (%)","643","Russian Federation","2016","56.3412","2016","State Committee of the Russian Federation on Statistics","Statistical Survey of Income and Participation in Social Programs","CA","PERCENT","","","","","","","","","","","","G","","",""
"1","1.3","1.3.1","SI_COV_SOCINSPQ","[World Bank] Poorest quintile covered by social insurance programs (%)","202","Sub-Saharan Africa","2016","3.56681","2008-2016","World Development Indicators database, World Bank","","CA","PERCENT","","","","","","","","","","","","G","","",""
"1","1.3","1.3.1","SI_COV_SOCINSPQ","[World Bank] Poorest quintile covered by social insurance programs (%)","430","Liberia","2016","0.5887","2016","Liberia Institute for Statistics and Geo-Information Services - Government of Liberia","Household Income and Expenditure Survey 2016","CA","PERCENT","","","","","","","","","","","","G","","",""
"1","1.3","1.3.1","SI_COV_SOCINSPQ","[World Bank] Poorest quintile covered by social insurance programs (%)","643","Russian Federation","2016","54.63931","2016","State Committee of the Russian Federation on Statistics","Statistical Survey of Income and Participation in Social Programs","CA","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","20","Andorra","2016","NA","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","50","Bangladesh","2016","15.2","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","76","Brazil","2016","<2.5","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","104","Myanmar","2016","10.5","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","116","Cambodia","2016","18.5","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","120","Cameroon","2016","7.3","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","140","Central African Republic","2016","61.8","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","150","Europe","2016","<2.5","2016","FAO, Statistics Division","","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","150","Europe","2017","<2.5","2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","156","China","2016","8.7","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","178","Congo","2016","37.5","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","180","Democratic Republic of the Congo","2016","NA","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","202","Sub-Saharan Africa","2016","22.3","2016","FAO, Statistics Division","","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","202","Sub-Saharan Africa","2017","23.2","2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","203","Czechia","2016","<2.5","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","204","Benin","2016","10.4","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","208","Denmark","2016","<2.5","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","231","Ethiopia","2016","21.4","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","250","France","2016","<2.5","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","276","Germany","2016","<2.5","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","320","Guatemala","2016","15.8","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","356","India","2016","14.8","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","360","Indonesia","2016","7.7","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","376","Israel","2016","<2.5","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","404","Kenya","2016","24.2","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","408","Democratic People's Republic of Korea","2016","43.4","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","426","Lesotho","2016","12.8","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","430","Liberia","2016","38.8","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","450","Madagascar","2016","43.1","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","500","Montserrat","2016","NA","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","504","Morocco","2016","3.9","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","508","Mozambique","2016","30.5","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","516","Namibia","2016","25.4","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","520","Nauru","2016","NA","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","566","Nigeria","2016","11.5","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","586","Pakistan","2016","20.5","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","598","Papua New Guinea","2016","NA","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","608","Philippines","2016","13.7","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","620","Portugal","2016","<2.5","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","643","Russian Federation","2016","<2.5","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","694","Sierra Leone","2016","25.5","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","704","Viet Nam","2016","10.8","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","710","South Africa","2016","6.1","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","716","Zimbabwe","2016","46.6","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","760","Syrian Arab Republic","2016","NA","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","762","Tajikistan","2016","NA","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","764","Thailand","2016","9","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","768","Togo","2016","16.2","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","776","Tonga","2016","NA","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","834","United Republic of Tanzania","2016","32","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","850","United States Virgin Islands","2016","NA","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","876","Wallis and Futuna Islands","2016","NA","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFC","Prevalence of undernourishment (%)","894","Zambia","2016","44.5","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","PERCENT","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFCN","Number of undernourish people (millions)","20","Andorra","2016","NA","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","NUM_M","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFCN","Number of undernourish people (millions)","50","Bangladesh","2016","24.8","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","NUM_M","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFCN","Number of undernourish people (millions)","76","Brazil","2016","<5.2","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","NUM_M","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFCN","Number of undernourish people (millions)","104","Myanmar","2016","5.6","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","NUM_M","","","","","","","","","","","","G","","",""
"2","2.1","2.1.1","SN_ITK_DEFCN","Number of undernourish people (millions)","116","Cambodia","2016","2.9","2015-2017","FAO, Statistics Division","Estimates are based on projected values","E","NUM_M","","","","","","","","","","","","G","","",""
