"country","iso2","iso3","iso_numeric","g_whoregion","year","exp_cpp_dstb","exp_cpp_mdr","exp_cpp_xdr","exp_lab","rcvd_lab","exp_staff","rcvd_staff","exp_fld","rcvd_fld","exp_prog","rcvd_prog","exp_sld","rcvd_sld","exp_mdrmgt","rcvd_mdrmgt","exp_tbhiv","rcvd_tbhiv","exp_patsup","rcvd_patsup","exp_orsrvy","rcvd_orsrvy","exp_oth","rcvd_oth","exp_tot","rcvd_tot","rcvd_tot_domestic","rcvd_tot_gf","rcvd_tot_usaid","rcvd_tot_grnt","rcvd_tot_sources","hcfvisit_dstb","hcfvisit_mdr","hospd_dstb_prct","hospd_mdr_prct","hospd_dstb_dur","hospd_mdr_dur","hosp_type_mdr"
"Israel","IL","ISR","376","EUR",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Kenya","KE","KEN","404","AFR",2017,20,2350,3500,1451654,1451654,11759650,11759650,1874136,1874136,1969674,1969674,925900,925900,1268667,1268667,1484088,1484088,22799,22799,839093,839093,5208470,5208470,26804131,26804131,12916437,13835149,52545,,26804131,10,600,15,25,20,60,141
"Lesotho","LS","LSO","426","AFR",2017,,,,0,6666,170000,270198,658000,658000,300000,337197,792000,792000,332000,332000,562471,562471,450000,450000,490220,2281220,0,1000000,3754691,6689752,1453281,4236471,,1000000,6689752,6,20,,,,,140
"Liberia","LR","LBR","430","AFR",2017,43,1446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2,100,120,180,141
"Madagascar","MG","MDG","450","AFR",2017,20,1126,0,,,106400,106400,,,2045379,2556700,20268,61469,141285,171995,,,,,,,,,2313332,2896564,32268,2864296,,,2896564,60,,2,,7,,142
"Montserrat","MS","MSR","500","AMR",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morocco","MA","MAR","504","EMR",2017,52,970,6670,582000,582000,8601000,8601000,3850000,3850000,533500,533500,1128800,1128800,25000,25000,40800,56800,0,20000,23800,23800,1562000,1562000,16346900,16382900,15297400,1056000,0,29500,16382900,28,47,5,30,10,60,142
"Mozambique","MZ","MOZ","508","AFR",2017,29,3210,3210,5783830,5783830,1361600,1361600,2387952,2387952,1505657,1505657,2869740,2869740,1000000,1000000,3550293,3550293,0,0,0,0,0,0,18459072,18459072,1361600,14176960,,2920512,18459072,56,192,10,25,15,60,142
"Myanmar","MM","MMR","104","SEA",2017,20,1100,9230,4796360,4796360,997733,997733,2640500,2640500,834240,834240,2932600,2932600,619296,619296,58920,58920,2607005,2607005,521549,521549,19953806,19953806,35962009,35962009,2225919,27434187,4000000,2301903,35962009,4,20,5,20,6,28,141
"Namibia","NA","NAM","516","AFR",2017,55,6618,,,,8468980,8468980,534034,534034,26369057,26369057,2713380,2713380,,,317000,317000,5250000,5250000,5507000,5507000,,,49159451,49159451,43335451,5507000,317000,,49159451,28,30,20,80,10,240,141
"Nauru","NR","NRU","520","WPR",2017,,,,,,,,,,,,,,,,,,,,,,,,34000,,,,,,,0,0,100,0,60,0,2
"Nigeria","NG","NGA","566","AFR",2017,37,2767,22574,19079543,19716562,30417902,30417902,11577459,12577465,3006426,3659375,2943991,2943991,3808615,4808618,1376296,3826296,2639672,3339672,580900,580900,24688948,30145948,100119752,112016729,32285669,64731060,15000000,0,112016729,18,211,2,34,14,120,141
"Pakistan","PK","PAK","586","EMR",2017,30,4600,11000,25253591,27609166,9849987,10819996,11877442,13755425,8974359,9195448,5653616,6116228,1575431,1582017,75283,81444,2001622,2145160,665915,668003,5952830,6227544,71880076,78200431,3141466,75058965,0,0,78200431,4,25,5,22,15,15,142
"Papua New Guinea","PG","PNG","598","WPR",2017,35,2096,,200000,200000,445761,445761,1051910,1051910,8500000,8500000,880128,880128,2000000,2000000,500000,500000,500000,500000,200000,200000,0,0,14277799,14277799,6377799,2000000,45000,5855000,14277799,2,12,5,100,14,90,141
"Philippines","PH","PHL","608","WPR",2017,21,6630,7958,9464867,9727792,6888880,7621750,8320382,8405068,1506133,2820608,6309969,6947276,170742,224403,1424812,1510138,,,644000,644000,17067720,18817389,51797505,56718424,20617589,34482107,1618728,,56718424,62,435,3,1,5,10,142
"Portugal","PT","PRT","620","EUR",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,30,100,20,70,142
"Russian Federation","RU","RUS","643","EUR",2017,58,3107,10100,26329894,26329894,836264980,836264980,11276013,11276013,93780172,93780172,87096227,87096227,15621891,15621891,1174320,1174320,1176378,1176378,130355,130355,361729048,361729048,1434579278,1434579278,1432956723,0,0,1622555,1434579278,201,720,66,100,33,210,141
"Sierra Leone","SL","SLE","694","AFR",2017,32,1024,,352359,352359,241754,241754,473750,473750,2576583,2576583,103424,103424,305375,305375,143230,143230,50000,50000,,,100000,100000,4346475,4346475,241754,3884721,220000,0,4346475,60,171,,100,,168,142
"South Africa","ZA","ZAF","710","AFR",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,110,5,50,5,60,140
"Syrian Arab Republic","SY","SYR","760","EMR",2017,60,3000,6000,44000,44000,,,,,,,,,,,,,,,,,,,44000,44000,,0,,44000,44000,9,13,3,4,6,15,140
"Tajikistan","TJ","TJK","762","EUR",2017,44,2525,4860,4037774,4150681,2048468,2048468,276276,276276,185789,185789,1439278,1439278,12000,15000,2314946,2316146,1197192,1197192,64399,64399,2084254,2784254,13660376,14477483,1717116,9509576,2687278,563513,14477483,336,572,73,73,45,98,142
"Thailand","TH","THA","764","SEA",2017,73,2812,6385,2051275,2051275,1560865,1560865,7154677,7154677,2903077,2903077,3524818,3524818,53045,53045,22233,22233,203759,203759,176732,176732,1590385,1590385,19240866,19240866,16558496,2682370,,,19240866,6,24,2,10,7,7,141
"Togo","TG","TGO","768","AFR",2017,75,,0,1124295,1124295,305109,336078,197601,197601,594244,594244,0,0,0,0,,,46990,231531,59715,63066,514226,1009797,2842180,3556612,309885,3220630,,26097,3556612,8,270,4,60,60,120,142
"Tonga","TO","TON","776","WPR",2017,,,,,,,,,,,,,,,,,,,,,,,,117720,,,,,,,3,0,10,0,14,0,142
"United Republic of Tanzania","TZ","TZA","834","AFR",2017,23,20079,0,1831880,1831880,1436888,1436888,1561170,1561170,3595953,3595953,0,0,25000,25000,687766,687766,223939,223939,707250,707250,,,10069846,10069846,380000,8939846,,750000,10069846,18,24,10,100,14,180,142
"Viet Nam","VN","VNM","704","WPR",2017,63,713,4643,984393,984393,808438,862943,7331422,7331422,,,1797973,1797973,7017518,7688583,466951,623458,1262884,2115246,1734239,1734239,4099105,4503818,25502923,27642075,8586666,18517174,,538235,27642075,30,520,40,80,14,14,141
"Wallis and Futuna Islands","WF","WLF","876","WPR",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zambia","ZM","ZMB","894","AFR",2017,50,5822,0,1028978,1228589,428340,518115,2551707,2551707,390000,390000,1455500,1455500,270000,270000,1600139,1600139,200000,2182905,350000,520000,210000,310000,8484664,11026955,2173704,6707765,126890,2018596,11026955,10,12,20,100,5,180,142
"Zimbabwe","ZW","ZWE","716","AFR",2017,21,1545,12462,2298314,2298314,1914270,1914270,609863,1501184,2760823,2760823,678255,1038240,363217,363217,611971,611971,163440,163440,,,,,9400153,10651459,2484000,8167459,,,10651459,24,236,5,20,14,60,141
