"country","iso2","iso3","iso_numeric","g_whoregion","year","tbhiv_surv_prev","tbhiv_surv_yr","tbhiv_surv_cil","tbhiv_surv_ciu","tbhiv_sentin_prev","tbhiv_sentin_yr","tbhiv_sentin_cil","tbhiv_sentin_ciu"
"Indonesia","ID","IDN","360","SEA",2017,2.41,2017,1.27,4.53,,,,
"Kazakhstan","KZ","KAZ","398","EUR",2008,0.2,2008,,,,,,
"Kazakhstan","KZ","KAZ","398","EUR",2009,1,2009,,,,,,
"Kenya","KE","KEN","404","AFR",2008,45,2008,42,48,0,2008,0,0
"Kenya","KE","KEN","404","AFR",2009,44,2009,42,46,0,2009,0,0
"Kenya","KE","KEN","404","AFR",2010,41,2010,37,45,,,,
"Madagascar","MG","MDG","450","AFR",2011,,,,,1.68,2011,,
"Madagascar","MG","MDG","450","AFR",2012,,,,,0,2010,0,1
"Madagascar","MG","MDG","450","AFR",2013,,,,,2.34,2013,,
"Madagascar","MG","MDG","450","AFR",2014,,,,,2.34,2013,,
"Morocco","MA","MAR","504","EMR",2007,,,,,0.49,2007,,
"Morocco","MA","MAR","504","EMR",2009,1.7,2008,1.1,2.6,0.39,2008,,
"Morocco","MA","MAR","504","EMR",2010,1.7,2008,1.1,2.6,0.85,2010,,
"Morocco","MA","MAR","504","EMR",2012,,,,,0.64,2012,0.62,0.66
"Mozambique","MZ","MOZ","508","AFR",2013,,,,,56,2013,,
"Myanmar","MM","MMR","104","SEA",2007,,,,,10.9,2006,,
"Myanmar","MM","MMR","104","SEA",2008,,,,,11,2008,,
"Myanmar","MM","MMR","104","SEA",2009,,,,,11,2008,,
"Myanmar","MM","MMR","104","SEA",2010,10.4,2010,,,10.4,2010,,
"Myanmar","MM","MMR","104","SEA",2011,9.9,2011,8.8,11,9.9,2011,8.8,11
"Myanmar","MM","MMR","104","SEA",2012,0,2012,0,0,9.7,2012,8.7,10.7
"Myanmar","MM","MMR","104","SEA",2013,,2013,,,9.2,2013,8.2,10.2
"Myanmar","MM","MMR","104","SEA",2016,,,,,8.4,2016,,
"Pakistan","PK","PAK","586","EMR",2010,,,,,0.3,2010,,
"Pakistan","PK","PAK","586","EMR",2015,,,,,0.5,2015,,
"Pakistan","PK","PAK","586","EMR",2016,,,,,0.54,2016,,
"Pakistan","PK","PAK","586","EMR",2017,,,,,0.46,2017,,
"Papua New Guinea","PG","PNG","598","WPR",2008,,,,,3.8,2008,,
"Peru","PE","PER","604","AMR",2009,1.5,2009,,,,,,
"Peru","PE","PER","604","AMR",2010,2,2010,,,2,2010,,
"Portugal","PT","PRT","620","EUR",2008,14.6,2008,13.38,15.94,,,,
"Portugal","PT","PRT","620","EUR",2010,12,2010,10,13,,,,
"Russian Federation","RU","RUS","643","EUR",2008,6,2008,1,3,,,,
"Russian Federation","RU","RUS","643","EUR",2009,8,2009,7,9,,,,
"Somalia","SO","SOM","706","EMR",2010,0,2010,0,0,8,2010,6.6,9.4
"Somalia","SO","SOM","706","EMR",2012,0,2010,0,0,3.1,2010,2.6,7.6
"Somalia","SO","SOM","706","EMR",2015,,,,,1.5,2015,0.86,2.41
"Tajikistan","TJ","TJK","762","EUR",2008,4,2008,13,18,,,,
"Thailand","TH","THA","764","SEA",2007,17,2006,,,,,,
"Thailand","TH","THA","764","SEA",2008,17,2007,,,,,,
"Thailand","TH","THA","764","SEA",2009,17,2007,,,,,,
"Viet Nam","VN","VNM","704","WPR",2007,,,,,4.4,2007,,
"Viet Nam","VN","VNM","704","WPR",2008,,,,,3.75,2008,,
"Zimbabwe","ZW","ZWE","716","AFR",2007,0,,,,0,,,
