"country","iso2","iso3","iso_numeric","g_whoregion","year","exp_cpp_dstb","exp_cpp_mdr","exp_cpp_xdr","exp_lab","rcvd_lab","exp_staff","rcvd_staff","exp_fld","rcvd_fld","exp_prog","rcvd_prog","exp_sld","rcvd_sld","exp_mdrmgt","rcvd_mdrmgt","exp_tbhiv","rcvd_tbhiv","exp_patsup","rcvd_patsup","exp_orsrvy","rcvd_orsrvy","exp_oth","rcvd_oth","exp_tot","rcvd_tot","rcvd_tot_domestic","rcvd_tot_gf","rcvd_tot_usaid","rcvd_tot_grnt","rcvd_tot_sources","hcfvisit_dstb","hcfvisit_mdr","hospd_dstb_prct","hospd_mdr_prct","hospd_dstb_dur","hospd_mdr_dur","hosp_type_mdr"
"Democratic Republic of the Congo","CD","COD","180","AFR",2017,33,2330,7500,2957757,2957757,2147644,2147644,5092778,5092778,7814116,7814116,2065204,2065204,1499086,1499086,24500,24500,731117,731117,78554,78554,1310586,1310586,23721342,23721342,187660,14342309,3416278,5775095,23721342,77,150,1,10,30,120,141
"Denmark","DK","DNK","208","EUR",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ethiopia","ET","ETH","231","AFR",2017,30,4465,,13734978,13747691,7750169,7750170,3339508,3339508,9104092,9135070,0,207648,4371148,4371148,5344779,5344779,1297667,1297667,815026,815026,2485531,2487073,48242898,48495780,9626945,20829930,16472740,1566165,48495780,76,270,5,50,10,30,140
"France","FR","FRA","250","EUR",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,80,99,14,200,142
"Guam","GU","GUM","316","WPR",2017,,,,,,,,,,,,,,,,,,,,,,,,1642543,,,,,,,106,360,10,100,7,30,142
"Guatemala","GT","GTM","320","AMR",2017,51,1060,11075,303927,366003,1080860,1080860,388565,436604,342528,562195,95690,95690,44637,87004,0,37892,0,135411,0,0,0,0,2256207,2801659,1693487,1108172,,,2801659,110,360,5,83,30,120,142
"India","IN","IND","356","SEA",2017,35,1500,11000,75474873,75474873,73507305,73507305,64255214,64255214,40817709,40817709,84798101,84798101,50788675,50788675,11393429,11393429,11787968,11787968,6067504,6067504,29467517,29467517,448358295,448358295,277874227,167198354,2285714,1000000,448358295,46,480,1,80,3,7,141
"Indonesia","ID","IDN","360","SEA",2017,35,1296,0,14685562,18359644,20969958,22469678,14894065,14894065,18997479,25743514,1119604,1542280,6745392,6745392,1110825,2263667,3735015,6337251,1282127,1484485,1544976,1731265,85085003,101571241,43257778,49296849,9016614,0,101571241,16,644,0,25,0,5,141
"Kazakhstan","KZ","KAZ","398","EUR",2017,85,4557,3903,2601703,2601703,89751220,89751220,850000,850000,910596,910596,26605500,26605500,5723747,5723747,780511,780511,2601703,2601703,260170,260170,,,130085150,130085150,117299985,10666287,0,2118878,130085150,144,538,80,83,79,132,2
"Kenya","KE","KEN","404","AFR",2017,20,2350,3500,1451654,1451654,11759650,11759650,1874136,1874136,1969674,1969674,925900,925900,1268667,1268667,1484088,1484088,22799,22799,839093,839093,5208470,5208470,26804131,26804131,12916437,13835149,52545,,26804131,10,600,15,25,20,60,141
"Kyrgyzstan","KG","KGZ","417","EUR",2017,68,3525,5949,1559795,1559795,6236263,6236263,1012269,1012269,4812021,4812021,4760336,4760336,1421000,1421000,4976,4976,802495,802495,12488,12488,4066709,4066709,24688352,24688352,11718895,7476973,4444064,1048420,24688352,184,520,82,90,67,103,142
"Madagascar","MG","MDG","450","AFR",2017,20,1126,0,,,106400,106400,,,2045379,2556700,20268,61469,141285,171995,,,,,,,,,2313332,2896564,32268,2864296,,,2896564,60,,2,,7,,142
"Montserrat","MS","MSR","500","AMR",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morocco","MA","MAR","504","EMR",2017,52,970,6670,582000,582000,8601000,8601000,3850000,3850000,533500,533500,1128800,1128800,25000,25000,40800,56800,0,20000,23800,23800,1562000,1562000,16346900,16382900,15297400,1056000,0,29500,16382900,28,47,5,30,10,60,142
"Mozambique","MZ","MOZ","508","AFR",2017,29,3210,3210,5783830,5783830,1361600,1361600,2387952,2387952,1505657,1505657,2869740,2869740,1000000,1000000,3550293,3550293,0,0,0,0,0,0,18459072,18459072,1361600,14176960,,2920512,18459072,56,192,10,25,15,60,142
"Myanmar","MM","MMR","104","SEA",2017,20,1100,9230,4796360,4796360,997733,997733,2640500,2640500,834240,834240,2932600,2932600,619296,619296,58920,58920,2607005,2607005,521549,521549,19953806,19953806,35962009,35962009,2225919,27434187,4000000,2301903,35962009,4,20,5,20,6,28,141
"Nauru","NR","NRU","520","WPR",2017,,,,,,,,,,,,,,,,,,,,,,,,34000,,,,,,,0,0,100,0,60,0,2
"Nigeria","NG","NGA","566","AFR",2017,37,2767,22574,19079543,19716562,30417902,30417902,11577459,12577465,3006426,3659375,2943991,2943991,3808615,4808618,1376296,3826296,2639672,3339672,580900,580900,24688948,30145948,100119752,112016729,32285669,64731060,15000000,0,112016729,18,211,2,34,14,120,141
"Pakistan","PK","PAK","586","EMR",2017,30,4600,11000,25253591,27609166,9849987,10819996,11877442,13755425,8974359,9195448,5653616,6116228,1575431,1582017,75283,81444,2001622,2145160,665915,668003,5952830,6227544,71880076,78200431,3141466,75058965,0,0,78200431,4,25,5,22,15,15,142
"Papua New Guinea","PG","PNG","598","WPR",2017,35,2096,,200000,200000,445761,445761,1051910,1051910,8500000,8500000,880128,880128,2000000,2000000,500000,500000,500000,500000,200000,200000,0,0,14277799,14277799,6377799,2000000,45000,5855000,14277799,2,12,5,100,14,90,141
"Peru","PE","PER","604","AMR",2017,50,1226,54000,25920332,30981658,4108037,4108037,1575900,1650000,10539286,11093986,2030256,2100000,8080119,8505389,1609153,1749079,17480641,19894547,0,0,0,0,71343724,80082696,71426091,8656605,0,0,80082696,104,600,2,21,15,75,141
"Philippines","PH","PHL","608","WPR",2017,21,6630,7958,9464867,9727792,6888880,7621750,8320382,8405068,1506133,2820608,6309969,6947276,170742,224403,1424812,1510138,,,644000,644000,17067720,18817389,51797505,56718424,20617589,34482107,1618728,,56718424,62,435,3,1,5,10,142
"Portugal","PT","PRT","620","EUR",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,30,100,20,70,142
"Republic of Moldova","MD","MDA","498","EUR",2017,50,2697,7427,1753189,1753189,5635311,5635311,138968,138968,3507415,3507415,2066744,2066744,246733,246733,56210,56210,1292015,1292015,108242,108242,1135024,1135024,15939851,15939851,9549848,6390003,0,0,15939851,134,415,59,91,57,135,142
"Russian Federation","RU","RUS","643","EUR",2017,58,3107,10100,26329894,26329894,836264980,836264980,11276013,11276013,93780172,93780172,87096227,87096227,15621891,15621891,1174320,1174320,1176378,1176378,130355,130355,361729048,361729048,1434579278,1434579278,1432956723,0,0,1622555,1434579278,201,720,66,100,33,210,141
"Somalia","SO","SOM","706","EMR",2017,42,347,0,2086864,2344503,150360,150360,704787,715072,3513985,3604866,92973,307423,204673,253799,470895,493124,59850,545580,59112,59112,5537250,5560000,12880749,14033839,,14033839,,,14033839,4,14,60,75,40,120,2
"South Africa","ZA","ZAF","710","AFR",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,110,5,50,5,60,140
"Tajikistan","TJ","TJK","762","EUR",2017,44,2525,4860,4037774,4150681,2048468,2048468,276276,276276,185789,185789,1439278,1439278,12000,15000,2314946,2316146,1197192,1197192,64399,64399,2084254,2784254,13660376,14477483,1717116,9509576,2687278,563513,14477483,336,572,73,73,45,98,142
"Thailand","TH","THA","764","SEA",2017,73,2812,6385,2051275,2051275,1560865,1560865,7154677,7154677,2903077,2903077,3524818,3524818,53045,53045,22233,22233,203759,203759,176732,176732,1590385,1590385,19240866,19240866,16558496,2682370,,,19240866,6,24,2,10,7,7,141
"Ukraine","UA","UKR","804","EUR",2017,35,1509,5455,8808725,8808902,307536,307536,44980,44980,1591275,1591275,11829196,18174822,2829904,2829904,594014,595617,2836724,2836724,2142,2142,6410984,6410984,35255480,41602886,28564702,9542463,2557105,938616,41602886,315,615,67,77,86,146,142
"Uzbekistan","UZ","UZB","860","EUR",2017,,,,2400546,2400546,209198,209198,838949,838949,646656,646656,6435353,6435353,106455,106455,79150,79150,508390,508390,0,0,0,0,11224697,11224697,,10201467,633828,389402,11224697,156,520,92,93,56,68,141
"Viet Nam","VN","VNM","704","WPR",2017,63,713,4643,984393,984393,808438,862943,7331422,7331422,,,1797973,1797973,7017518,7688583,466951,623458,1262884,2115246,1734239,1734239,4099105,4503818,25502923,27642075,8586666,18517174,,538235,27642075,30,520,40,80,14,14,141
"Zimbabwe","ZW","ZWE","716","AFR",2017,21,1545,12462,2298314,2298314,1914270,1914270,609863,1501184,2760823,2760823,678255,1038240,363217,363217,611971,611971,163440,163440,,,,,9400153,10651459,2484000,8167459,,,10651459,24,236,5,20,14,60,141
