Excerpt Copy,Codes Applied Combined,
I think it is very cool that they have a place where youths can have fun with there friends and other kids.,"{Dialogue, Appreciate, Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
Hello lionman that's a really neat picture,"{Dialogue, Appreciate, Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
I am glad you like it,"{Dialogue, Appreciate, Target Comment or Idea, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, P-C}",
"This is very Yo La Tengo. In your description, you mentioned that it captures the routine of the everyday, but I think that it does so in a very surreal way that severs the routine and makes it more objective. It's quite beautiful, actually; like a memory.","{Dialogue, Assuming shared knowledge, Other, Extend, Appreciate, Interpret, Snip, Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P , Classmate-classmate , Reflect back, Coding question}",
 This kind of looks like Oregon in the summer or the spring..its really gorgeous,"{Dialogue, Connect, Appreciate, Share Info, Community-related, ecological, sociological, Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
I love spending time admiring the nature in my neighbourhood too! What other kinds of animals live near your area?,"{Dialogue, Connect, Personal / Identity expression, Question, Probe , Target Comment or Idea, Commenter's own self, context, post/work, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P , Share Info, Personal details}",
 Schools and businesses look very different in Beaverton! That's smart of the people to make businesses out of their homes to save money.,"{Dialogue, Differences statements, Share Info, Community-related, ecological, sociological, Extend, Appreciate, Interpret, Coding question, Target Comment or Idea, Commenter's own self, context, post/work, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
"
Hello CMG02 of course because our city is beautiful and I like my city how is your city? how can you see our city?","{Dialogue, Elaborate/Explain, Share Info, Community-related, ecological, sociological, Question, Probe , Other, Reader / audience sensitivity, Target Comment or Idea, Commenter's own self, context, post/work, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, P-C}",
"Which language do you like speaking more? English or Spanish? I have a childhood park as well that I used to go to all the time, it's super fun and I bring my siblings there a lot when I babysit. I think that is really amazing and inspiring that you are staying in school while raising a child. xx","{Dialogue, Internet speak, use of emojis / emoticons, Question, Probe , Connect, Appreciate, Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, C-P , Share Info, Personal details, Elaborate/Explain}",
"Yes it's very nice to have a park very close to where I live. I still go there with my son and play. Having a child is a HUGE responsibility, it's even harder when you are growing up yourself. I still am a student, but it's all thanks to the program I am in. It's a program where they provide us with daycare while we teen parent can still attend school and be a student. They also offer parenting classes to help us be better parents and manage our time. Thank you for your blessings, I greatly appreciate it! May God bless you as well! ","{Dialogue, Other, Coding question, Appreciate, Personal / Identity expression, Target Comment or Idea, Commenter's own self, context, post/work, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, P-C , Affirming utterance, Elaborate/Explain, Share Info, Community-related, ecological, sociological, Personal details, Original Post, Elaborate/Explain, Internet speak, shorthand/internet speak}",
Am totally agree with we are all human and there is no different between us!,"{Dialogue, Personal / Identity expression, Connect, Thread, exchange, & comment characteristics, C-P , Affirming utterance, Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Coding question}",
I dont really like ferris wheels there to slow i like fast rides like a roller coster and i like that convertible bmw it looks ice but i dont like convertible cars and what kind of car is the one infront of the bmw the white one.,"{Dialogue, Personal / Identity expression, Share Info, Personal details, Question, Probe , Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
"How is the weather there? In Oregon , its always raining and sometimes very cold too! Do you enjoy your weather?","{Dialogue, Question, Not post-related , Differences statements, Share Info, Community-related, ecological, sociological, Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
"What do this companies do? and since you say you have your school in your neighborhood, does that mean you walk to your school?My school is also in my neighborhood, it is somewhat nice getting to walk to my school everyday.","{Dialogue, Question, Probe , Interpret, Reflect back, Connect, Share Info, Personal details, Community-related, ecological, sociological, Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, C-P , Coding question}",
Hi do you like trees and forest? are you nature person?,"{Dialogue, Question, Probe , Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P , Original Post}",
"At school I speak English the most. Everyone here speaks spanish, but at home my whole family speaks Spanish and I speak Spanish the most at home. With my son I speak both Languages; I try to speak both equally so he gets to know both languages and later on know how to speak them fluently, but I always end up speaking spanish to him the most. what languages do you speak at home?","{Dialogue, Question, Probe , Target Comment or Idea, Commenter's own self, context, post/work, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, P-C , Elaborate/Explain, Share Info, Personal details, Community-related, ecological, sociological}",
